run,7,random,8000,1,15270.10386
run,7,random,8000,2,15253.16547
run,7,random,8000,3,15254.9269
run,7,random,8000,4,15266.36105
run,7,random,32000,0,15244.93046
run,7,random,32000,1,15256.02225
run,7,random,32000,2,15247.84161
run,7,random,32000,3,15246.34399
run,7,random,32000,4,15262.1798
run,7,climb,500,0,15678.41283
run,7,climb,500,1,15244.33444
run,7,climb,500,2,15242.76636
run,7,climb,500,3,16828.92252
run,7,climb,500,4,15245.20128
run,7,climb,2000,0,15240.82637
run,7,climb,2000,1,15240.62217
run,7,climb,2000,2,15241.15479
run,7,climb,2000,3,15240.89185
run,7,climb,2000,4,15242.98856
run,7,climb,8000,0,15240.79216
run,7,climb,8000,1,15240.62217
run,7,climb,8000,2,15240.55241
run,7,climb,8000,3,15240.89185
run,7,climb,8000,4,15241.24849
run,7,climb,32000,0,15240.71342
run,7,climb,32000,1,15240.62217
run,7,climb,32000,2,15240.53984
run,7,climb,32000,3,15240.54915
run,7,climb,32000,4,15240.59441
run,7,anneal,500,0,15401.70305
run,7,anneal,500,1,15256.08366
run,7,anneal,500,2,15342.17226
run,7,anneal,500,3,15296.10655
run,7,anneal,500,4,15268.38876
run,7,anneal,2000,0,15253.04166
run,7,anneal,2000,1,15249.11052
run,7,anneal,2000,2,15285.50639
run,7,anneal,2000,3,15248.86492
run,7,anneal,2000,4,15251.41802
run,7,anneal,8000,0,15242.09375
run,7,anneal,8000,1,15254.97014
run,7,anneal,8000,2,15245.9002
run,7,anneal,8000,3,15274.97604
run,7,anneal,8000,4,15243.25522
run,7,anneal,32000,0,15243.93758
run,7,anneal,32000,1,15243.02079
run,7,anneal,32000,2,15242.91211
run,7,anneal,32000,3,15244.23967
run,7,anneal,32000,4,15243.48771
run,7,ga,500,0,15243.50399
run,7,ga,500,1,15245.81208
run,7,ga,500,2,15247.60787
run,7,ga,500,3,15251.279
run,7,ga,500,4,15269.42463
run,7,ga,2000,0,15242.3628
run,7,ga,2000,1,15241.66553
run,7,ga,2000,2,15243.40545
run,7,ga,2000,3,15241.62132
run,7,ga,2000,4,15273.46914
run,7,ga,8000,0,15242.42938
run,7,ga,8000,1,15241.98665
run,7,ga,8000,2,15242.98728
run,7,ga,8000,3,15243.38284
run,7,ga,8000,4,15241.45779
run,7,ga,32000,0,15241.2329
run,7,ga,32000,1,15241.64502
run,7,ga,32000,2,15241.07395
run,7,ga,32000,3,15242.18805
run,7,ga,32000,4,15241.12828
feas,7,random,4,0
feas,7,climb,4,0
feas,7,anneal,4,0
feas,7,ga,4,0
meta,12,24,5,35,118.5,113502.2571,64281.77619,9,54
feas,12,human,9,54
feas,12,centroid,7,240.3333333
run,12,random,500,0,34131.0437
run,12,random,500,1,35282.5075
run,12,random,500,2,39548.55904
run,12,random,500,3,22113.02469
run,12,random,500,4,37098.56549
run,12,random,2000,0,27309.06958
run,12,random,2000,1,22745.05538
run,12,random,2000,2,29347.46306
run,12,random,2000,3,22113.02469
run,12,random,2000,4,30393.29076
run,12,random,8000,0,18545.41582
run,12,random,8000,1,19759.25546
run,12,random,8000,2,19500.38615
run,12,random,8000,3,22113.02469
run,12,random,8000,4,18617.80687
run,12,random,32000,0,16190.81051
run,12,random,32000,1,17261.12454
run,12,random,32000,2,16914.91909
run,12,random,32000,3,15875.38599
run,12,random,32000,4,18202.58749
run,12,climb,500,0,27537.7852
run,12,climb,500,1,18014.84092
run,12,climb,500,2,16949.28593
run,12,climb,500,3,23419.50808
run,12,climb,500,4,17091.05593
run,12,climb,2000,0,17194.1454
run,12,climb,2000,1,16885.50722
run,12,climb,2000,2,15268.88528
run,12,climb,2000,3,17327.46779
run,12,climb,2000,4,14988.18934
run,12,climb,8000,0,15763.0918
run,12,climb,8000,1,16263.59667
run,12,climb,8000,2,14743.30419
run,12,climb,8000,3,14778.47463
run,12,climb,8000,4,14550.74804
run,12,climb,32000,0,15420.77733
run,12,climb,32000,1,15224.75227
run,12,climb,32000,2,14743.30419
run,12,climb,32000,3,14778.47463
run,12,climb,32000,4,14550.74804
run,12,anneal,500,0,15992.76105
run,12,anneal,500,1,28931.48331
run,12,anneal,500,2,26330.40119
run,12,anneal,500,3,20937.7015
run,12,anneal,500,4,17604.19203
run,12,anneal,2000,0,17103.6477
run,12,anneal,2000,1,16646.92323
run,12,anneal,2000,2,17217.38657
run,12,anneal,2000,3,17218.76603
run,12,anneal,2000,4,16566.55887
run,12,anneal,8000,0,16224.37932
run,12,anneal,8000,1,16222.90942
run,12,anneal,8000,2,17001.52733
run,12,anneal,8000,3,15409.83171
run,12,anneal,8000,4,16232.98931
run,12,anneal,32000,0,15068.49632
run,12,anneal,32000,1,15114.55327
run,12,anneal,32000,2,16921.55449
run,12,anneal,32000,3,14842.45708
run,12,anneal,32000,4,16822.28937
run,12,ga,500,0,17769.34949
run,12,ga,500,1,16642.71235
run,12,ga,500,2,16523.35859
run,12,ga,500,3,17226.2006
run,12,ga,500,4,17022.43307
run,12,ga,2000,0,16116.6966
run,12,ga,2000,1,16196.14421
run,12,ga,2000,2,16282.62212
run,12,ga,2000,3,16215.04553
run,12,ga,2000,4,16124.30791
run,12,ga,8000,0,15986.30028
run,12,ga,8000,1,15829.12849
run,12,ga,8000,2,16019.76484
run,12,ga,8000,3,16179.05566
run,12,ga,8000,4,15897.08083
run,12,ga,32000,0,15746.64948
run,12,ga,32000,1,15680.18827
run,12,ga,32000,2,15657.81906
run,12,ga,32000,3,15466.76336
run,12,ga,32000,4,15692.14139
feas,12,random,16,18.5
feas,12,climb,10,0
feas,12,anneal,10,12
feas,12,ga,12,1.738858761
meta,13,29,2,39,36,227853.3343,16612.95286,10,0
feas,13,human,10,0
feas,13,centroid,7,492
run,13,random,500,0,20582.4728
run,13,random,500,1,27815.33131
run,13,random,500,2,17750.45286
run,13,random,500,3,30011.1703
run,13,random,500,4,22583.22547
run,13,random,2000,0,17651.45286
run,13,random,2000,1,16840.52348
run,13,random,2000,2,17750.45286
run,13,random,2000,3,17302.35558
run,13,random,2000,4,19229.61246
run,13,random,8000,0,17347.02712
run,13,random,8000,1,16840.52348
run,13,random,8000,2,17750.45286
run,13,random,8000,3,17302.35558
run,13,random,8000,4,17853.14718
run,13,random,32000,0,16940.14224
run,13,random,32000,1,16840.52348
run,13,random,32000,2,17021.9479
run,13,random,32000,3,17028.88355
run,13,random,32000,4,16916.22986
run,13,climb,500,0,28443.89759
run,13,climb,500,1,19107.70942
run,13,climb,500,2,19065.93976
run,13,climb,500,3,30449.04714
run,13,climb,500,4,30446.38232
run,13,climb,2000,0,17836.01004
run,13,climb,2000,1,18974.23473
run,13,climb,2000,2,16747.92689
run,13,climb,2000,3,18992.46245
run,13,climb,2000,4,16753.20075
run,13,climb,8000,0,16695.31948
run,13,climb,8000,1,16758.71034
run,13,climb,8000,2,16691.57199
run,13,climb,8000,3,16754.33863
run,13,climb,8000,4,16744.78944
run,13,climb,32000,0,16692.37336
run,13,climb,32000,1,16748.41347
run,13,climb,32000,2,16691.57199
run,13,climb,32000,3,16652.88903
run,13,climb,32000,4,16691.73847
run,13,anneal,500,0,17850.59187
run,13,anneal,500,1,18735.44886
run,13,anneal,500,2,17839.13903
run,13,anneal,500,3,20265.63923
run,13,anneal,500,4,17637.72893
run,13,anneal,2000,0,19261.59634
