lib	alg	dim	median_ratio
mealpy	OriginalGBO	2	2.75455e-05
mealpy	TVAC	2	0
mealpy	BaseFBIO	2	0
mealpy	ImprovedBSO	2	0.438834
mealpy	OriginalAO	2	4.32978
mealpy	BaseGSKA	2	0
mealpy	BaseLCO	2	0
mealpy	OriginalSSpiderA	2	0.90077
mealpy	BaseHS	2	0.928805
mealpy	AdaptiveEO	2	0
mealpy	OriginalWCA	2	0
mealpy	OriginalMRFO	2	0
mealpy	OriginalEOA	2	1.04486
mealpy	OriginalABC	2	0.000231881
mealpy	ModifiedAEO	2	0
mealpy	OriginalSFO	2	2.41084
mealpy	BaseBBO	2	7.26643
mealpy	OriginalNMRA	2	0
mealpy	OriginalACOR	2	0.000655355
mealpy	ImprovedSFO	2	1.22765
mealpy	OriginalCRO	2	2.48234
mealpy	LevyJA	2	0.0193605
mealpy	OriginalHS	2	0.797983
mealpy	OriginalCSO	2	1.00009
mealpy	OriginalCOA	2	0.0726954
mealpy	LevyQSA	2	0
mealpy	OppoQSA	2	0
mealpy	BaseBRO	2	0.789987
mealpy	OriginalSLO	2	0.0513527
mealpy	OriginalMVO	2	0.348879
mealpy	CLPSO	2	0.0259555
mealpy	OriginalNRO	2	0
mealpy	BaseSCA	2	0.112765
mealpy	BaseGCO	2	0
mealpy	OriginalArchOA	2	0.0397957
mealpy	SwarmHC	2	0.0501412
mealpy	ImprovedTLO	2	0
mealpy	OriginalMSA	2	1.13009e-08
mealpy	WOA	2	0
mealpy	OriginalIWO	2	0.194705
mealpy	BaseGA	2	2.77876
mealpy	ModifiedEO	2	6.5838e-10
mealpy	ImprovedNMRA	2	1.70652
mealpy	BaseCHIO	2	4.6661
mealpy	OriginalHHO	2	0.000308371
mealpy	OriginalGWO	2	0.00575981
mealpy	ImprovedQSA	2	0
mealpy	OriginalFBIO	2	0
mealpy	OriginalBeesA	2	0.00283636
mealpy	BaseEFO	2	0
mealpy	OriginalSA	2	0.0356186
mealpy	OriginalHC	2	3.33324
mealpy	OriginalSHO	2	0.524322
mealpy	JADE	2	0
mealpy	OriginalCA	2	3.53097
mealpy	EnhancedTWO	2	0.0714562
mealpy	BaseSSA	2	6.65447e-09
mealpy	OriginalAOA	2	91.9034
mealpy	OriginalQSA	2	0
mealpy	OriginalGOA	2	1.64864e-05
mealpy	EnhancedAEO	2	0
mealpy	OriginalGSKA	2	1.29972e-05
mealpy	PPSO	2	0
mealpy	OriginalCGO	2	0
mealpy	OriginalHGSO	2	1.07192
mealpy	OriginalSBO	2	0.00078843
mealpy	OppoTWO	2	0.0739453
mealpy	OriginalASO	2	26.4225
mealpy	ModifiedSLO	2	0.00216736
mealpy	BaseVCS	2	0
mealpy	LSHADE	2	0
mealpy	OriginalEFO	2	6.93766
mealpy	OriginalJA	2	1.91987
mealpy	OriginalGCO	2	0
mealpy	OriginalPSS	2	0.0138959
mealpy	OriginalEHO	2	0.190702
mealpy	OriginalSSA	2	2.8634e-05
mealpy	OriginalSCA	2	0.127335
mealpy	OriginalBES	2	0
mealpy	BaseSBO	2	0.107399
mealpy	BaseJA	2	0.124764
mealpy	OriginalSARO	2	0
mealpy	OriginalSRSR	2	1.62467e-05
mealpy	OriginalTWO	2	0.00665838
mealpy	OriginalWDO	2	8.31041
mealpy	AugmentedAEO	2	0
mealpy	OriginalWOA	2	0
mealpy	SADE	2	0
mealpy	OriginalBRO	2	2.28476
mealpy	OriginalSSpiderO	2	1.43504
mealpy	ProbBeesA	2	0.470401
mealpy	OriginalFA	2	0.765162
mealpy	OriginalCSA	2	2.3394
mealpy	OriginalALO	2	0.510302
mealpy	OriginalDO	2	1.57266
mealpy	OriginalCHIO	2	1
mealpy	OriginalBSA	2	6.4978e-06
mealpy	LevyEP	2	0.0117159
mealpy	OriginalICA	2	8.35855e-05
mealpy	ImprovedLCO	2	0.281574
mealpy	OriginalMFO	2	8.30029
mealpy	ImprovedAEO	2	0
mealpy	OriginalVCS	2	0.0462744
mealpy	AdaptiveBA	2	11.2389
mealpy	MultiGA	2	25.6605
mealpy	OriginalES	2	0.0826719
mealpy	LevyES	2	5.58565e-06
mealpy	OriginalEP	2	0.558614
mealpy	BaseSMA	2	0.0474
mealpy	OriginalPSO	2	18.0445
mealpy	FBUDGETSHADE	2	0
mealpy	OriginalFOA	2	110.934
mealpy	BaseQSA	2	0
mealpy	BaseMFO	2	0
mealpy	BaseDE	2	0
mealpy	WhaleFOA	2	110.787
Baselines	DE	5	0.00890635
Baselines	RCobyla	5	0.194156
Baselines	PSO	5	4.59537
Baselines	RandomSearch	5	0.986672
Baselines	DiagonalCMA	5	0.00468015
Baselines	modcma	5	0
Baselines	modde	5	4.4064e-09
Baselines	OnePlusOne	5	0.552566
Baselines	Powell	5	0.0628158
Baselines	MultiBFGS	5	4.3596e-07
Baselines	lshade	5	0
Baselines	bipop	5	0
EVOLOPY	DE	5	4.01456e-05
EVOLOPY	JAYA	5	0.338904
EVOLOPY	PSO	5	0.0853546
EVOLOPY	WOA	5	0.433935
EVOLOPY	FFA	5	0.0267172
EVOLOPY	BAT	5	1.32826
EVOLOPY	MVO	5	0.0177343
EVOLOPY	HHO	5	0.385061
EVOLOPY	SCA	5	0.472437
EVOLOPY	GA	5	0.184272
EVOLOPY	MFO	5	0.224646
EVOLOPY	CS	5	1.3431e-05
EVOLOPY	GWO	5	0.0815866
EVOLOPY	SSA	5	0.0382871
NIAPY	DynamicFireworksAlgorithm	5	0.0362824
NIAPY	HarmonySearch	5	0.0683662
NIAPY	EvolutionStrategyMp1	5	0.0498648
NIAPY	MonarchButterflyOptimization	5	2.20959
NIAPY	CenterParticleSwarmOptimization	5	0.039447
NIAPY	DynNpDifferentialEvolution	5	0.852029
NIAPY	CamelAlgorithm	5	0.264988
NIAPY	BatAlgorithm	5	0.602215
NIAPY	GlowwormSwarmOptimization	5	4.16669
NIAPY	BareBonesFireworksAlgorithm	5	0.413015
NIAPY	CuckooSearch	5	8.20625e-09
NIAPY	GeneticAlgorithm	5	0.985221
NIAPY	ParticleSwarmAlgorithm	5	0.0108781
NIAPY	MonkeyKingEvolutionV3	5	1.68022
NIAPY	MonkeyKingEvolutionV2	5	0.000665788
NIAPY	SineCosineAlgorithm	5	16.8108
NIAPY	EvolutionStrategy1p1	5	0.2969
NIAPY	HarrisHawksOptimization	5	0.113206
NIAPY	ParticleSwarmOptimization	5	1.03505
NIAPY	ForestOptimizationAlgorithm	5	0.0515432
NIAPY	EnhancedFireworksAlgorithm	5	0.0384296
NIAPY	MultiStrategyDifferentialEvolution	5	2.33816e-07
NIAPY	MutatedParticleSwarmOptimization	5	0.043127
NIAPY	ComprehensiveLearningParticleSwarmOptimizer	5	0.00533994
NIAPY	KrillHerd	5	3.54787
NIAPY	FishSchoolSearch	5	0.115103
NIAPY	MutatedCenterUnifiedParticleSwarmOptimization	5	0.0444902
NIAPY	MutatedCenterParticleSwarmOptimization	5	0.0247032
NIAPY	GlowwormSwarmOptimizationV2	5	4.51584
NIAPY	CatSwarmOptimization	5	0.169543
NIAPY	DifferentialEvolution	5	1.24304e-10
NIAPY	FireworksAlgorithm	5	0.0675644
NIAPY	MothFlameOptimizer	5	2.15983
NIAPY	DynNpMultiStrategyDifferentialEvolution	5	0.0333925
NIAPY	EvolutionStrategyML	5	0.266689
NIAPY	GreyWolfOptimizer	5	0.0412097
NIAPY	HarmonySearchV1	5	0.25119
NIAPY	BeesAlgorithm	5	0.238105
NIAPY	GlowwormSwarmOptimizationV1	5	4.44257
NIAPY	GlowwormSwarmOptimizationV3	5	4.24545
NIAPY	LionOptimizationAlgorithm	5	0.119838
NIAPY	ArtificialBeeColonyAlgorithm	5	0.00978817
NIAPY	AgingNpDifferentialEvolution	5	0.583541
NIAPY	OppositionVelocityClampingParticleSwarmOptimization	5	1.49597
NIAPY	CoralReefsOptimization	5	1.46168
NIAPY	BacterialForagingOptimization	5	0.150964
NIAPY	DynamicFireworksAlgorithmGauss	5	0.0605767
NIAPY	ClonalSelectionAlgorithm	5	1.94219
NIAPY	GravitationalSearchAlgorithm	5	4.11464
NIAPY	MonkeyKingEvolutionV1	5	0.105773
NIAPY	EvolutionStrategyMpL	5	0.0166988
NIAPY	FireflyAlgorithm	5	0.00832558
NIAPY	FlowerPollinationAlgorithm	5	1.0948e-06
OPYTIMIZER	SA	5	0.1506
OPYTIMIZER	GOGHS	5	0.650556
OPYTIMIZER	QSA	5	0
OPYTIMIZER	SGHS	5	0.206147
OPYTIMIZER	DE	5	0
OPYTIMIZER	RFO	5	0.0167116
OPYTIMIZER	PPA	5	0.391532
OPYTIMIZER	EHO	5	0.441556
OPYTIMIZER	AEO	5	8.43074e-06
OPYTIMIZER	ABO	5	0.00176887
OPYTIMIZER	GHS	5	0.433495
OPYTIMIZER	PVS	5	0.572932
OPYTIMIZER	BWO	5	1.23286
OPYTIMIZER	PSO	5	0.0611464
OPYTIMIZER	BSO	5	0.677938
OPYTIMIZER	CSA	5	0.735542
OPYTIMIZER	SSO	5	1.64648
OPYTIMIZER	WOA	5	0.240082
OPYTIMIZER	BA	5	0.811634
OPYTIMIZER	HS	5	0.409897
OPYTIMIZER	JS	5	0.878145
OPYTIMIZER	SOS	5	0
OPYTIMIZER	GS	5	13.5823
OPYTIMIZER	EFO	5	0.113007
OPYTIMIZER	GSA	5	8.81814
OPYTIMIZER	ESA	5	1.67529
OPYTIMIZER	BOA	5	12.0781
OPYTIMIZER	HC	5	1.74496
OPYTIMIZER	ABC	5	0.102379
OPYTIMIZER	RRA	5	0.11903
OPYTIMIZER	NDS	5	13.5823
OPYTIMIZER	NBJS	5	0.850541
OPYTIMIZER	SSD	5	7.29269
OPYTIMIZER	CEM	5	1.55335
OPYTIMIZER	AOA	5	1.28719
OPYTIMIZER	MRFO	5	0.0362997
OPYTIMIZER	ASO	5	27.7884
OPYTIMIZER	SFO	5	1.77946
OPYTIMIZER	IHS	5	0.503224
OPYTIMIZER	COA	5	0
OPYTIMIZER	GOA	5	0.106016
OPYTIMIZER	STOA	5	2.90447
OPYTIMIZER	MVPA	5	0.589483
OPYTIMIZER	ES	5	0.203454
OPYTIMIZER	AIWPSO	5	0.192132
OPYTIMIZER	ISA	5	6.82513
OPYTIMIZER	EO	5	0.0140936
OPYTIMIZER	AF	5	49.3305
OPYTIMIZER	DOA	5	0.0247552
OPYTIMIZER	PIO	5	1.06508
OPYTIMIZER	HHO	5	0.0951449
OPYTIMIZER	BSA	5	0.0410102
OPYTIMIZER	TEO	5	1.29819
OPYTIMIZER	FA	5	9.92962
OPYTIMIZER	WWO	5	0.0615044
OPYTIMIZER	IWO	5	0.0065955
OPYTIMIZER	KH	5	0.0391364
OPYTIMIZER	FOA	5	0.131675
OPYTIMIZER	RPSO	5	0.029407
OPYTIMIZER	SCA	5	1.46134
OPYTIMIZER	OSA	5	2.43611
OPYTIMIZER	WDO	5	5.87342
OPYTIMIZER	LSA	5	0.0423428
OPYTIMIZER	VPSO	5	0.0292398
OPYTIMIZER	SBO	5	0.197146
OPYTIMIZER	GA	5	0.0342785
OPYTIMIZER	MFO	5	0.491328
OPYTIMIZER	CS	5	0
OPYTIMIZER	FSO	5	1.07624
OPYTIMIZER	NGHS	5	1.30972
OPYTIMIZER	GCO	5	5.30528e-09
OPYTIMIZER	TWO	5	0.204353
OPYTIMIZER	WEO	5	1.34142e-09
OPYTIMIZER	GWO	5	0.382639
OPYTIMIZER	SAVPSO	5	0.000404523
OPYTIMIZER	FFOA	5	5.72105
OPYTIMIZER	AIG	5	0.0271448
OPYTIMIZER	BH	5	0.480204
OPYTIMIZER	CI	5	1.19773
OPYTIMIZER	SSA	5	0.0406795
OPYTIMIZER	AO	5	1.63117
OPYTIMIZER	MVO	5	0.110921
mealpy	LevyTWO	5	0.11016
mealpy	OriginalTLO	5	0.000197637
mealpy	GWO	5	0.565419
mealpy	OriginalBBO	5	0.208495
mealpy	ABFO	5	1.10516
mealpy	OriginalWHO	5	0.0726186
mealpy	OriginalFFA	5	0.755277
mealpy	BaseSARO	5	0
mealpy	OriginalSMA	5	0.387242
mealpy	SingleGA	5	1.7825
mealpy	OriginalSSDO	5	1.25429
mealpy	OriginalFPA	5	1.33605e-05
mealpy	OriginalSSO	5	1.39294
mealpy	OriginalMA	5	0.913618
mealpy	OriginalCEM	5	0.388824
mealpy	OCRO	5	0.121386
mealpy	OriginalBA	5	8.37566
mealpy	OriginalAEO	5	0.154861
mealpy	OriginalBSO	5	0.248866
mealpy	OriginalBFO	5	2.20656
mealpy	ImprovedSLO	5	0.283041
mealpy	OriginalLCO	5	0.483913
mealpy	OriginalHGS	5	0.327646
mealpy	BaseALO	5	0.632629
mealpy	CPSO	5	1.01095
mealpy	OriginalEO	5	0.00496689
mealpy	DE	5	2.16786
mealpy	ModifiedBA	5	0.340891
mealpy	BaseTLO	5	0.00036455
mealpy	OriginalPFA	5	1.99172
