lib	alg	dim	budget_factor	wins	losses	pairs	p_better	holm_better	p_worse	holm_worse	verdict
NIAPY	OppositionVelocityClampingParticleSwarmOptimization	20	500	537	663	1200	0.999878	1	0.000152237	0.037907	worse
NIAPY	CoralReefsOptimization	20	500	150	1050	1200	1	1	5.33887e-167	1.52158e-164	worse
NIAPY	BacterialForagingOptimization	20	500	303	897	1200	1	1	7.09714e-69	1.94462e-66	worse
NIAPY	DynamicFireworksAlgorithmGauss	20	500	1170	30	1200	3.70089e-302	9.03016e-300	1	1	better
NIAPY	ClonalSelectionAlgorithm	20	500	91	1109	1200	1	1	2.26397e-223	6.54288e-221	worse
NIAPY	GravitationalSearchAlgorithm	20	500	448	752	1200	1	1	7.22865e-19	1.85053e-16	worse
NIAPY	MonkeyKingEvolutionV1	20	500	1107	93	1200	3.25833e-221	4.85491e-219	1	1	better
NIAPY	EvolutionStrategyMpL	20	500	1181	19	1200	1.34336e-320	3.70769e-318	1	1	better
NIAPY	FireflyAlgorithm	20	500	1130	70	1200	2.31531e-247	4.07494e-245	1	1	better
NIAPY	FlowerPollinationAlgorithm	20	500	1176	24	1200	6.02618e-312	1.59091e-309	1	1	better
OPYTIMIZER	SA	20	500	1054	146	1200	2.10491e-170	2.48379e-168	1	1	better
OPYTIMIZER	GOGHS	20	500	1126	74	1200	1.36526e-242	2.27998e-240	1	1	better
OPYTIMIZER	QSA	20	500	1175	25	1200	2.83723e-310	7.34842e-308	1	1	better
OPYTIMIZER	SGHS	20	500	1115	85	1200	5.6952e-230	9.11231e-228	1	1	better
OPYTIMIZER	DE	20	500	1177	23	1200	1.2277e-313	3.30252e-311	1	1	better
OPYTIMIZER	RFO	20	500	1191	9	1200	0	0	1	1	better
OPYTIMIZER	PPA	20	500	987	213	1200	1.07117e-119	1.03904e-117	1	1	better
OPYTIMIZER	EHO	20	500	1147	53	1200	6.98302e-269	1.4385e-266	1	1	better
OPYTIMIZER	AEO	20	500	1191	9	1200	0	0	1	1	better
OPYTIMIZER	ABO	20	500	1177	23	1200	1.2277e-313	3.30252e-311	1	1	better
OPYTIMIZER	GHS	20	500	1039	161	1200	6.61411e-158	7.4078e-156	1	1	better
OPYTIMIZER	PVS	20	500	847	353	1200	1.36538e-47	1.0923e-45	1	1	better
OPYTIMIZER	BWO	20	500	986	34	1020	3.5102e-244	5.93225e-242	1	1	better
OPYTIMIZER	PSO	20	500	1172	28	1200	2.34187e-305	5.83125e-303	1	1	better
OPYTIMIZER	BSO	20	500	1069	131	1200	1.16288e-183	1.46523e-181	1	1	better
OPYTIMIZER	CSA	20	500	865	335	1200	9.85426e-55	8.27757e-53	1	1	better
OPYTIMIZER	SSO	20	500	1131	69	1200	1.43156e-248	2.5625e-246	1	1	better
OPYTIMIZER	WOA	20	500	1177	23	1200	1.2277e-313	3.30252e-311	1	1	better
OPYTIMIZER	BA	20	500	958	242	1200	2.15686e-101	2.00588e-99	1	1	better
OPYTIMIZER	HS	20	500	1043	157	1200	3.61887e-161	4.08932e-159	1	1	better
OPYTIMIZER	JS	20	500	1047	153	1200	1.76165e-164	2.0259e-162	1	1	better
OPYTIMIZER	SOS	20	500	1196	4	1200	0	0	1	1	better
OPYTIMIZER	GS	20	500	0	1200	1200	1	1	0	0	worse
OPYTIMIZER	EFO	20	500	1141	59	1200	4.86568e-261	9.14747e-259	1	1	better
OPYTIMIZER	GSA	20	500	324	876	1200	1	1	2.2122e-59	6.01719e-57	worse
OPYTIMIZER	ESA	20	500	713	487	1200	3.65858e-11	2.48783e-09	1	1	better
OPYTIMIZER	BOA	20	500	61	238	299	1	1	3.72739e-26	9.61666e-24	worse
OPYTIMIZER	HC	20	500	111	1089	1200	1	1	1.1827e-202	3.38251e-200	worse
OPYTIMIZER	ABC	20	500	1016	184	1200	4.38528e-140	4.60454e-138	1	1	better
OPYTIMIZER	RRA	20	500	1115	85	1200	5.6952e-230	9.11231e-228	1	1	better
OPYTIMIZER	NDS	20	500	0	1200	1200	1	1	0	0	worse
OPYTIMIZER	NBJS	20	500	1030	170	1200	9.54162e-151	1.04958e-148	1	1	better
OPYTIMIZER	SSD	20	500	391	809	1200	1	1	2.42789e-34	6.3125e-32	worse
OPYTIMIZER	CEM	20	500	792	408	1200	3.46381e-29	2.59786e-27	1	1	better
OPYTIMIZER	AOA	20	500	783	417	1200	1.20335e-26	8.90481e-25	1	1	better
OPYTIMIZER	MRFO	20	500	1192	8	1200	0	0	1	1	better
OPYTIMIZER	ASO	20	500	109	1091	1200	1	1	1.21162e-204	3.47734e-202	worse
OPYTIMIZER	SFO	20	500	794	406	1200	9.06502e-30	6.88942e-28	1	1	better
OPYTIMIZER	IHS	20	500	1026	174	1200	1.21249e-147	1.32162e-145	1	1	better
OPYTIMIZER	COA	20	500	1185	15	1200	0	0	1	1	better
OPYTIMIZER	GOA	20	500	1155	45	1200	8.01255e-280	1.75475e-277	1	1	better
OPYTIMIZER	STOA	20	500	210	990	1200	1	1	1.05013e-121	2.92986e-119	worse
OPYTIMIZER	MVPA	20	500	936	264	1200	8.9369e-89	8.13258e-87	1	1	better
OPYTIMIZER	ES	20	500	1150	50	1200	6.45201e-273	1.34847e-270	1	1	better
OPYTIMIZER	AIWPSO	20	500	1128	72	1200	5.78976e-245	9.9005e-243	1	1	better
OPYTIMIZER	ISA	20	500	208	722	930	1	1	2.25829e-67	6.16512e-65	worse
OPYTIMIZER	EO	20	500	1196	4	1200	0	0	1	1	better
OPYTIMIZER	AF	20	500	32	909	941	1	1	1.77617e-224	5.15089e-222	worse
OPYTIMIZER	DOA	20	500	1159	41	1200	1.59022e-285	3.57799e-283	1	1	better
OPYTIMIZER	PIO	20	500	862	338	1200	1.67372e-53	1.37245e-51	1	1	better
